CLAVE,DESCRIPCION
111,"Funcionarios, legisladores y autoridades gubernamentales"
112,Presidentes y directores generales
113,"Directores de organizaciones políticas, sindicales y civiles"
121,Directores y gerentes en servicios financieros y administrativos
122,"Directores y gerentes en servicios de salud, enseńanza y sociales"
131,"Directores y gerentes en producción agropecuaria, industrial, construcción y mantenimiento"
132,"Directores y gerentes en informática, telecomunicaciones, transporte y en investigación y desarrollo tecnológico"
141,"Directores y gerentes de ventas, restaurantes y hoteles"
142,"Directores y gerentes de museos, cines y otros establecimientos"
151,Coordinadores y jefes de área en servicios financieros y administrativos
152,"Coordinadores y jefes de área en servicios de salud, enseńanza, sociales y jueces calificadores"
161,"Coordinadores y jefes de área en producción agropecuaria, industrial, construcción y mantenimiento"
162,"Coordinadores y jefes de área en informática, telecomunicaciones, transporte y en investigación y desarrollo tecnológico  "
171,"Coordinadores y jefes de área de ventas, restaurantes y hoteles"
172,"Coordinadores y jefes de área en museos, cines y otros establecimientos"
199,"Otros directores, funcionarios, gerentes, coordinadores y jefes de área, no clasificados anteriormente                                      "
211,Administradores y mercadólogos
212,"Contadores, auditores y profesionistas en finanzas"
213,Investigadores y profesionistas en ciencias sociales
214,Investigadores y profesionistas en ciencias humanistas
215,"Escritores, periodistas y traductores"
216,"Pintores, diseńadores y dibujantes artísticos, escultores y escenógrafos"
217,Artistas interpretativos
221,"Investigadores y profesionistas en física, matemáticas, estadística y actuaría"
222,"Investigadores y profesionistas en ciencias biológicas, químicas y del medio ambiente"
223,Profesionistas en ciencias agronómicas
224,Ingenieros eléctricos y en electrónica
225,"Ingenieros químicos, mecánicos, industriales, mineros y metalúrgicos"
226,"Ingenieros civiles, topógrafos y arquitectos"
227,Investigadores y profesionistas en sistemas computacionales
228,Ingenieros en comunicaciones y telecomunicaciones
231,Supervisores educativos y especialistas en ciencias de la educación
232,Profesores de nivel medio y superior
233,Profesores de nivel básico
234,Profesores de enseńanza especial
239,"Otros profesores y especialistas en docencia, no clasificados anteriormente"
241,Médicos generales y dentistas
242,Médicos especialistas
243,Otros especialistas en salud
251,"Auxiliares en administración, contabilidad y finanzas"
252,Inspectores públicos
253,Auxiliares en ciencias sociales y humanistas
254,"Diseńadores de modas, industriales, gráficos y decoradores de interiores"
255,"Locutores, animadores y payasos"
256,"Deportistas, entrenadores y árbitros"
261,"Auxiliares y técnicos en ciencias físicas, matemáticas, biológicas, químicas, del medio ambiente y agronómicas"
262,"Auxiliares y técnicos industriales, topógrafos, mineros y dibujantes técnicos"
263,"Mecánicos y técnicos en mantenimiento y reparación de equipos mecánicos, vehículos de motor, instrumentos industriales y equipo de refrigeración"
264,"Técnicos eléctricos, en electrónica y de equipos en telecomunicaciones y electromecánicos"
265,Auxiliares y técnicos en informática y en equipos de comunicaciones y grabación
266,Controladores de tráfico aéreo y de otros transportes
271,"Auxiliares y técnicos en educación, instructores y capacitadores"
281,Enfermeras y técnicos en medicina
282,Trabajadores de apoyo en salud
299,Otros profesionistas y técnicos no clasificados anteriormente
310,"Supervisores de secretarias, capturistas, cajeros y trabajadores de control de archivo y transporte"
311,"Secretarias, taquígrafos, mecanógrafos, capturistas de datos y operadores de máquinas de oficina"
312,"Cajeros, cobradores y pagadores"
313,Trabajadores en archivo y control de almacén y bodega
314,Trabajadores en el control de la operación de transporte
320,Supervisores de trabajadores que brindan y manejan información
321,"Recepcionistas, trabajadores que brindan información y telefonistas"
322,Trabajadores en agencias de viajes e información turística
323,Encuestadores y codificadores
399,"Otros trabajadores auxiliares en actividades administrativas, no clasificados anteriormente"
411,Comerciantes en establecimientos
420,Encargados y supervisores de ventas de productos y de servicios financieros
421,Empleados de ventas y vendedores por teléfono
422,"Agentes, representantes de ventas y vendedores por catálogo"
423,Trabajadores en la promoción de ventas y modelos
430,Supervisores en servicios de alquiler
431,Trabajadores en servicios de alquiler
499,"Otros comerciantes, empleados en ventas y agentes de ventas en establecimientos, no clasificados anteriormente"
510,"Supervisores en la preparación y servicio de alimentos y bebidas, así como en servicios de esparcimiento y de hotelería"
511,Trabajadores en la preparación y servicio de alimentos y bebidas en establecimientos
520,Supervisores y encargados de trabajadores en cuidados personales y del hogar
521,"Peluqueros, embellecedores y similares"
522,Trabajadores en el cuidado de personas
523,Azafatas y sobrecargos
524,Jardineros
525,Trabajadores en otros servicios personales
529,Otros trabajadores en servicios personales no clasificados anteriormente
530,Supervisores en servicios de protección y vigilancia
531,Trabajadores en servicios de protección y vigilancia
540,"Supervisores de la Armada, Ejército y Fuerza Aérea"
541,"Trabajadores de la Armada, Ejército y Fuerza Aérea"
610,"Supervisores, encargados y capataces agropecuarios"
611,Trabajadores en actividades agrícolas
612,Trabajadores en actividades ganaderas y en la cría de animales
613,Trabajadores que combinan actividades agrícolas con ganaderas
620,"Supervisores, encargados y capataces de trabajadores en actividades pesqueras, acuícolas, forestales, caza y similares"
621,Trabajadores en actividades pesqueras y de acuacultura
622,Trabajadores en actividades silvícolas y forestales
623,"Trabajadores en actividades de caza, trampería y similares"
631,Operadores de maquinaria agropecuaria y forestal
699,"Otros trabajadores en actividades agrícolas, ganaderas, forestales, caza y pesca, no clasificados anteriormente"
710,"Supervisores de trabajadores en la extracción, albańiles y en acabados de la construcción"
711,Trabajadores en la extracción
712,Albańiles y otros trabajadores en la edificación de construcciones
713,"Yeseros, instaladores de pisos, climas, impermeabilizante, vidrio, etc., plomeros y pintores"
719,"Otros trabajadores relacionados con la extracción y la edificación de construcción, no clasificados anteriormente"
720,Supervisores de artesanos y trabajadores en el tratamiento y elaboración de productos de metal
721,"Moldeadores, soldadores, hojalateros y pintores de metales"
722,"Herreros, cerrajeros, joyeros y artesanos en la elaboración de productos de metal"
729,"Otros trabajadores relacionados con el tratamiento y elaboración de productos de metal, no clasificados anteriormente"
730,"Supervisores de artesanos y trabajadores en la elaboración de productos de madera, papel, textiles y de cuero y piel"
731,Artesanos y trabajadores en la elaboración de productos de madera
732,"Artesanos y trabajadores en la elaboración de productos de papel, cartón y trabajos de impresión"
733,Trabajadores en la preparación de fibras textiles y tejedores de fibras textiles
734,"Artesanos en la elaboración de productos textiles, cuero, piel y similares"
735,Tapiceros y trabajadores en el tratamiento y elaboración de productos de cuero y piel
739,"Otros trabajadores relacionados con la elaboración de productos de madera, papel, textiles, cuero y piel, no clasificados anteriormente"
740,"Supervisores de artesanos y trabajadores en la elaboración de productos de hule, caucho, plásticos y de sustancias químicas"
741,"Artesanos y trabajadores en la elaboración de productos de hule, caucho, plásticos y de sustancias químicas"
750,"Supervisores de trabajadores en la elaboración y procesamiento de alimentos, bebidas y productos de tabaco"
751,"Trabajadores en la elaboración y procesamiento de alimentos, bebidas y productos de tabaco"
759,"Otros trabajadores relacionados con la elaboración y procesamiento de alimentos, bebidas y productos de tabaco, no clasificados anteriormente"
760,"Supervisores de artesanos y trabajadores en la elaboración de productos de cerámica, vidrio, azulejo y similares"
761,"Artesanos y trabajadores en la elaboración de productos de cerámica, vidrio, azulejo y similares"
799,Otros trabajadores artesanales no clasificados anteriormente
810,Supervisores de operadores de maquinaria industrial
811,"Operadores de máquinas y equipos para la extracción en minas, canteras y pozos"
812,"Operadores de máquinas y equipos en la fabricación metalúrgica, fabricación de maquinaria y productos metálicos"
813,"Operadores de máquinas y equipos en la elaboración de productos químicos, plástico, tratamiento de agua y petroquímica"
814,Operadores de máquinas para la madera y papel
815,"Operadores de máquinas y equipos en la elaboración de productos textiles, cuero y piel"
816,"Operadores de máquinas en la elaboración de alimentos, bebidas y tabaco"
817,"Operadores de máquinas en la elaboración de cemento y productos de cerámica, vidrio y similares"
818,Operadores de máquinas para la generación de energía
819,"Otros operadores de instalaciones y maquinaria fija industrial, no clasificados anteriormente"
820,"Supervisores en procesos de ensamblado y montaje de maquinaria, herramientas y productos metálicos, eléctricos y electrónicos"
821,"Ensambladores y montadores de herramientas, maquinaria, productos metálicos y electrónicos"
830,Supervisores de conductores de transporte y de maquinaria móvil
831,Conductores de transporte aéreo
832,Conductores de transporte marítimo
833,Conductores de transporte en vías férreas
834,Conductores de transporte terrestre con motor
835,Conductores de maquinaria móvil
899,"Otros operadores de maquinaria industrial, ensambladores y conductores de transporte, no clasificados anteriormente"
911,Trabajadores de apoyo en actividades agropecuarias
912,"Trabajadores de apoyo en actividades forestales, pesca y caza"
921,Trabajadores de apoyo en la minería y extracción
922,Trabajadores de apoyo en la construcción y la plomería
923,Trabajadores de apoyo en la industria
931,Ayudantes de conductores de transporte
932,Conductores de transporte en bicicleta y animal
933,Cargadores
941,Ayudantes en la preparación de alimentos
951,Vendedores ambulantes (excluyendo los de venta de alimentos)
952,Vendedores ambulantes de alimentos
959,Otros vendedores ambulantes no clasificados anteriormente
960,"Supervisores en limpieza, amas de llaves, mayordomos y en estacionamientos"
961,Trabajadores domésticos
962,"Trabajadores de limpieza, recamaristas, mozos de limpieza y limpiadores de calzado"
963,Lavadores y cuidadores de vehículos
964,Lavanderos y planchadores
965,Ayudantes de jardineros
966,"Recolectores de desechos, material reciclable y de otros materiales"
971,"Trabajadores de paquetería, empacado y de apoyo para espectáculos"
972,Trabajadores repartidores de mensajería y mercancías (a pie o en bicicleta)
973,"Lecturistas de medidores, recolectores de dinero y elevadoristas"
989,"Otros trabajadores en actividades elementales y de apoyo, no clasificados anteriormente"
999,Ocupaciones no especificadas
